appid,positive,negative,owners,average_forever,price,genre,total_ratings,genres_Action,genres_Adventure,genres_Casual,genres_Indie,genres_Other,genres_RPG,catagories_fixed_Multi,catagories_fixed_Single,catagories_fixed_Single/Multi
20,4691,815,2000000,92,499.0,Action Games,5506,1,0,0,0,0,0,1,0,0
30,4564,500,5000000,299,499.0,Action Games,5064,1,0,0,0,0,0,1,0,0
40,1668,360,100000,23,499.0,Action Games,2028,1,0,0,0,0,0,1,0,0
50,10197,535,5000000,218,499.0,Action Games,10732,1,0,0,0,0,0,0,0,1
60,3395,790,5000000,23,499.0,Action,4185,1,0,0,0,0,0,1,0,0
70,55289,2005,5000000,429,999.0,Action Games,57294,1,0,0,0,0,0,0,0,1
80,16730,1677,5000000,1198,999.0,Action Games,18407,1,0,0,0,0,0,0,0,1
130,7344,747,1000000,101,499.0,Action Games,8091,1,0,0,0,0,0,0,1,0
220,113562,3170,10000000,852,999.0,Action Games,116732,1,0,0,0,0,0,0,1,0
240,113380,4645,10000000,5876,999.0,Action,118025,1,0,0,0,0,0,1,0,0
280,6606,2107,2000000,201,999.0,Action Games,8713,1,0,0,0,0,0,0,1,0
300,14034,1433,5000000,1286,999.0,Action Games,15467,1,0,0,0,0,0,1,0,0
320,8226,930,10000000,979,499.0,Action,9156,1,0,0,0,0,0,1,0,0
340,7613,1162,10000000,415,0.0,Action Games,8775,1,0,0,0,0,0,0,1,0
360,2015,652,5000000,24,999.0,Action Games,2667,1,0,0,0,0,0,1,0,0
380,14905,762,5000000,239,799.0,Action Games,15667,1,0,0,0,0,0,0,1,0
400,82101,1402,5000000,258,999.0,Action Games,83503,1,0,0,0,0,0,0,1,0
420,22679,796,5000000,357,799.0,Action Games,23475,1,0,0,0,0,0,0,1,0
440,703615,44046,50000000,7043,0.0,Action Games,747661,1,0,0,0,0,0,1,0,0
500,29937,1296,5000000,1160,999.0,Action,31233,1,0,0,0,0,0,0,0,1
570,1217813,224709,100000000,34720,0.0,Action Games,1442522,1,0,0,0,0,0,1,0,0
620,229144,2844,10000000,855,999.0,Action,231988,1,0,0,0,0,0,0,0,1
630,18451,1019,1000000,324,0.0,Action Games,19470,1,0,0,0,0,0,0,0,1
730,4598654,621427,100000000,26746,0.0,Action,5220081,1,0,0,0,0,0,1,0,0
1002,45,17,0,27,999.0,Indie,62,0,0,0,1,0,0,0,0,1
1200,1815,254,500000,545,499.0,Action Games,2069,1,0,0,0,0,0,1,0,0
1250,58216,2851,2000000,2357,1999.0,Action Games,61067,1,0,0,0,0,0,0,0,1
1300,654,78,100000,159,999.0,Action Games,732,1,0,0,0,0,0,0,1,0
1313,156,23,50000,7,999.0,Action,179,1,0,0,0,0,0,0,0,1
1500,556,180,200000,52,999.0,Indie,736,0,0,0,1,0,0,0,1,0
1510,1831,178,500000,154,999.0,Indie,2009,0,0,0,1,0,0,0,1,0
1520,2543,406,500000,167,999.0,Indie,2949,0,0,0,1,0,0,0,0,1
1530,404,81,500000,115,999.0,Indie,485,0,0,0,1,0,0,0,0,1
1600,205,68,50000,787,1499.0,Strategy,273,0,0,0,0,0,0,0,0,1
1610,151,30,50000,28,999.0,Strategy,181,0,0,0,0,0,0,0,0,1
1630,696,127,50000,579,139.0,Strategy,823,0,0,0,0,0,0,0,0,1
1640,743,194,100000,43,139.0,Strategy,937,0,0,0,0,0,0,0,0,1
1690,242,108,50000,9514,1499.0,Strategy,350,0,0,0,0,0,0,0,0,1
1700,980,138,200000,64,499.0,RPG,1118,0,0,0,0,0,1,0,1,0
1840,22659,1557,1000000,477,0.0,Animation & Modeling,24216,0,0,0,0,1,0,0,0,0
1900,728,308,500000,755,499.0,Strategy,1036,0,0,0,0,0,0,0,0,1
1930,3385,1183,1000000,426,999.0,RPG,4568,0,0,0,0,0,1,0,0,1
2100,6272,513,1000000,444,999.0,Action Games,6785,1,0,0,0,0,0,0,0,1
2200,2146,98,200000,108,1499.0,Action Games,2244,1,0,0,0,0,0,0,0,1
2210,1497,235,200000,15,1499.0,Action Games,1732,1,0,0,0,0,0,0,0,1
2270,2280,127,200000,97,499.0,Action Games,2407,1,0,0,0,0,0,0,1,0
2280,8011,370,500000,244,499.0,Action Games,8381,1,0,0,0,0,0,0,0,1
2290,841,124,500000,78,499.0,Action Games,965,1,0,0,0,0,0,0,1,0
2300,4258,257,500000,259,499.0,Action Games,4515,1,0,0,0,0,0,0,0,1
2310,4133,195,500000,19,499.0,Action,4328,1,0,0,0,0,0,0,0,1
2320,2327,194,200000,54,499.0,Action Games,2521,1,0,0,0,0,0,0,0,1
2350,155,41,500000,17,1499.0,Action Games,196,1,0,0,0,0,0,0,0,1
2360,369,43,200000,5,499.0,Action Games,412,1,0,0,0,0,0,0,1,0
2370,87,23,50000,1,499.0,Action Games,110,1,0,0,0,0,0,0,1,0
2390,607,37,100000,1,499.0,Action Games,644,1,0,0,0,0,0,0,0,1
2400,5011,815,1000000,271,999.0,Action Games,5826,1,0,0,0,0,0,0,0,1
2420,621,263,200000,92,999.0,Action Games,884,1,0,0,0,0,0,0,1,0
2450,708,215,100000,575,499.0,Action Games,923,1,0,0,0,0,0,0,0,1
2500,1084,275,200000,158,699.0,Action Games,1359,1,0,0,0,0,0,0,0,1
2520,57,53,50000,15,499.0,Casual,110,0,0,1,0,0,0,0,1,0
2540,207,144,100000,21,499.0,Casual,351,0,0,1,0,0,0,0,0,1
2570,29,115,50000,17,0.0,Indie,144,0,0,0,1,0,0,0,1,0
2590,700,591,200000,35,499.0,Action Games,1291,1,0,0,0,0,0,0,1,0
2600,8766,471,500000,609,1999.0,Action Games,9237,1,0,0,0,0,0,0,1,0
2610,1027,116,100000,55,1999.0,Action Games,1143,1,0,0,0,0,0,0,1,0
2620,2635,159,200000,426,1999.0,Action Games,2794,1,0,0,0,0,0,0,0,1
2630,4414,357,1000000,500,1999.0,Action Games,4771,1,0,0,0,0,0,0,0,1
2640,840,127,200000,83,1999.0,Action Games,967,1,0,0,0,0,0,0,0,1
2700,4126,432,1000000,857,0.0,Simulation,4558,0,0,0,0,0,0,0,1,0
2710,310,43,20000,154,299.0,Action Games,353,1,0,0,0,0,0,0,0,1
2780,159,76,50000,302,799.0,Action Games,235,1,0,0,0,0,0,0,0,1
2800,274,62,200000,10,499.0,Strategy,336,0,0,0,0,0,0,0,1,0
2810,353,137,200000,684,999.0,Strategy,490,0,0,0,0,0,0,0,1,0
2820,1977,322,500000,687,1599.0,Action Games,2299,1,0,0,0,0,0,0,1,0
2840,185,68,200000,19,499.0,Simulation,253,0,0,0,0,0,0,0,1,0
2850,66,24,200000,10,499.0,Simulation,90,0,0,0,0,0,0,0,1,0
2870,2994,4082,200000,1852,2999.0,Action Games,7076,1,0,0,0,0,0,0,1,0
2900,97,30,20000,1240,999.0,Strategy,127,0,0,0,0,0,0,0,0,1
2910,213,43,20000,55,999.0,Strategy,256,0,0,0,0,0,0,0,1,0
2920,52,17,100000,135,999.0,Strategy,69,0,0,0,0,0,0,0,0,1
